call_id,type,district,city,lat,lng,description,injuries,trapped,spreading,vulnerable,received_at
CALL-1000,accident,Indiranagar,Bengaluru,12.96784,77.64353,"Two-vehicle collision, injuries reported",3,1,0,1,2026-07-05T10:42:37.046607+00:00
CALL-1001,medical,Koramangala,Bengaluru,12.94064,77.62756,"Chest pain reported, patient conscious",0,0,0,1,2026-07-05T09:53:37.046607+00:00
CALL-1002,accident,Gurugram,Delhi NCR,28.46384,77.03285,"Two-vehicle collision, injuries reported",2,0,0,1,2026-07-05T11:15:37.046607+00:00
CALL-1003,flood,Colaba,Mumbai,18.91369,72.82973,"Street waterlogged, vehicles stranded",1,0,1,1,2026-07-05T11:08:37.046607+00:00
CALL-1004,flood,Gurugram,Delhi NCR,28.44635,77.00972,"Street waterlogged, vehicles stranded",1,0,0,1,2026-07-05T06:36:37.046607+00:00
CALL-1005,flood,Colaba,Mumbai,18.89893,72.80155,"Street waterlogged, vehicles stranded",2,0,1,0,2026-07-05T07:33:37.046607+00:00
CALL-1006,accident,Bandra,Mumbai,19.05334,72.83235,"Two-vehicle collision, injuries reported",1,0,0,0,2026-07-05T06:02:37.046607+00:00
CALL-1007,fire,Noida,Delhi NCR,28.5239,77.38732,"Smoke visible from building, possible structure fire",0,0,1,0,2026-07-05T09:52:37.046607+00:00
CALL-1008,accident,Andheri,Mumbai,19.1021,72.84126,"Two-vehicle collision, injuries reported",0,0,0,0,2026-07-05T09:07:37.046607+00:00
CALL-1009,fire,Kurla,Mumbai,19.06538,72.86962,"Smoke visible from building, possible structure fire",0,1,0,1,2026-07-05T10:53:37.046607+00:00
CALL-1010,medical,Indiranagar,Bengaluru,12.97834,77.64562,"Chest pain reported, patient conscious",0,0,0,0,2026-07-05T10:36:37.046607+00:00
CALL-1011,flood,Indiranagar,Bengaluru,12.96173,77.6401,"Street waterlogged, vehicles stranded",0,0,1,0,2026-07-05T10:15:37.046607+00:00
CALL-1012,accident,Kurla,Mumbai,19.06803,72.85809,"Two-vehicle collision, injuries reported",0,0,0,0,2026-07-05T06:26:37.046607+00:00
